Marca temporal;Codigo_Participante;Edad;  ¿Con qué frecuencia utiliza los servicios del centro médico?  ;  ¿Qué servicio utiliza con mayor frecuencia?  ;  El proceso actual para obtener una cita médica es sencillo.  ;  Me gustaría poder solicitar o consultar citas médicas mediante un sistema digital.  ;  Considero importante recibir recordatorios de mis citas médicas por teléfono o mensaje.  ;  La información sobre horarios y disponibilidad de atención debería estar disponible de forma digital.  ;  Considero importante que mi historial clínico esté almacenado digitalmente para evitar pérdida de información.  ;  ¿Quiénes considera que deberían poder acceder a su historial médico?  ;  ¿Qué tan importante considera que los especialistas compartan información médica para brindar una mejor atención?  ;   ¿Cómo le gustaría recibir indicaciones médicas, dietas, recomendaciones o aviso de cancelación de citas medicas ?  ;  Si el centro médico contara con una plataforma digital, ¿para qué la utilizaría principalmente?  ; Le gustaría que las interfaces del sistema fuesen intuitivas fáciles de entender y animadas con dibujos o iconos representaivos;  ¿Qué dificultades ha experimentado al solicitar una cita o recibir atención en el centro médico?  ;  ¿Qué mejoras le gustaría que se implementaran para facilitar la atención a los usuarios ?  ;Género;¿Tiene algún tipo de seguro o afiliación médica?;¿Ha utilizado antes alguna aplicación similar para citas médicas?;¿Qué tan cómodo se siente usando aplicaciones o plataformas digitales?;¿Qué dispositivo usaría principalmente para acceder al sistema?;¿Cuenta con conexión a internet estable la mayor parte del tiempo?;Si necesita cancelar o reprogramar una cita, ¿con cuánto tiempo de anticipación le gustaría poder hacerlo?;¿En qué horario preferiría agendar sus citas médicas?;¿Alguna vez ha necesitado agendar una cita con carácter urgente/prioritario?;¿Con qué frecuencia ha faltado a una cita ya agendada, o ha llegado tarde?;¿Cuál fue el motivo principal de esa inasistencia o retraso?;¿Qué tan seguro/a se siente de que sus datos médicos estén almacenados en una plataforma digital?;¿Necesitaría ayuda de otra persona para usar una aplicación de citas médicas?;¿Considera que la aplicación debería tener opciones de accesibilidad (texto grande, lectura por voz, alto contraste)?;¿Le gustaría recibir su factura o comprobante de pago de forma digital?;¿Qué medio de pago preferiría usar en la plataforma?;¿Recomendaría el centro médico a un familiar o amigo?;Comentarios o sugerencias adicionales
7/28/2026 15:22:41;ENC-39;32;Varias veces al año;Medicina General;1;4;4;4;4;Solo el médico que lo atiende;Importante;Mensaje de texto (SMS);Todas las anteriores;;Falta de turnos o mala atención ;Buena atención y turnos disponibles ;Femenino;;;;;;6 a 24 horas;Mañana;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Transferencia bancaria;;Ninguna 
7/28/2026 16:02:04;ENC-40;40;Una vez al año;Medicina General;2;4;4;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Todas las anteriores;;Nunca hay citas disponible ;Más médicos y mejor atención ;Masculino;;;;;;6 a 24 horas;Mañana;No;Nunca;No aplica;3;No;Sí;Sí;Tarjeta de crédito/débito;;Mejorar atención en los centros públicos de salud, más disponibilidad de citas médicas. 
7/28/2026 16:18:26;ENC-41;19 años;Varias veces al año;Medicina General;3;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Importante;Prefiero recibirlas de forma presencial;Solicitar citas médicas;;Ninguna en situaciones graves.;Mas personal.;Femenino;;;;;;6 a 24 horas;Cualquier horario;Sí;Rara vez;Por cuestion de trabajo.;4;No;Sí;Sí;Todas estan  bien;;Todas las personas deverian tener un mejor control medico, una plataforma con recordatorios es una gran idea.
7/28/2026 16:51:27;ENC-42;31;Una vez al año;Medicina General;2;3;4;5;3;Solo el médico que lo atiende;Importante;Correo electrónico;Todas las anteriores;;Tiempo de espera ;El triaje;Masculino;;;;;;6 a 24 horas;Mañana;Sí;Rara vez;Imprevisto;1;Sí;Sí;Sí;Efectivo en el centro;;Gestionar a los empleados 
7/28/2026 17:38:30;ENC-43;20;Varias veces al año;Terapia Física;1;2;3;3;2;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp;Revisar recomendaciones médicas;;Que no responden rápido ;Que deen más atención ;Masculino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;2;No;No;Sí;Transferencia bancaria;;Nada adiós 
7/28/2026 17:55:38;ENC-44;40;Una vez al año;Medicina General;2;2;3;3;1;Solo el médico que lo atiende;Importante;WhatsApp, Correo electrónico, Mensaje de texto (SMS);Solicitar citas médicas;;A veces la falta de turno ;Más medicamento ;Femenino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;1;No;No;Sí;Efectivo en el centro;;Mejorar la atención al paciente 
7/28/2026 18:00:33;ENC-45;20;Una vez al año;Medicina General;3;3;3;4;4;Solo el médico que lo atiende;No estoy seguro(a);Correo electrónico, Mensaje de texto (SMS);Todas las anteriores;;Ninguna;No estoy segura;Femenino;;;;;;1 a 6 horas;Tarde;No;Rara vez;Olvido;3;Sí;No estoy seguro(a);Sí;Efectivo en el centro;;Ninguna
7/28/2026 18:06:18;ENC-46;14;Una vez al mes;Medicina General, Odontología;1;1;1;1;2;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Correo electrónico;Consultar información de mis citas;;Que tengo que esperar horas para agendar una cita ;Que siempre traten con una actitud amable ;Femenino;;;;;;Menos de 1 hora;Tarde;No;Nunca;Imprevisto;1;No;Sí;Sí;Efectivo en el centro;;Ninguna 
7/28/2026 18:10:12;ENC-47;30;Varias veces al año;Medicina General;4;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;Prefiero recibirlas de forma presencial;Solicitar citas médicas;;K el sistema está lento ;Atención inmediata ;Masculino;;;;;;1 a 6 horas;Cualquier horario;Sí;Rara vez;Imprevisto;5;No;Sí;Sí;Tarjeta de crédito/débito;;Que la atención sea la mejor y con buenos resultados 
7/28/2026 18:38:37;ENC-48;19;Una vez al año;Medicina General;2;4;5;5;5;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Correo electrónico;Solicitar citas médicas;;Mucha gente ;Con un aplicación web;Masculino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;5;Sí;Sí;Sí;Transferencia bancaria;;Ninguna
7/28/2026 18:45:54;ENC-49;80;Una vez al mes;Medicina General;1;3;4;3;4;Los profesionales autorizados que participen en mi atenció;Poco importante;Correo electrónico, Mensaje de texto (SMS);Solicitar citas médicas;;Que no hay atención para agendar la cita o que no hay médicos para atender;El personal lo complica porque al no tener un sistema en el que vayan registrando todo lo hacen a mano y a papel cosa que es confuso y pueden perderse regristros;Femenino;;;;;;Menos de 1 hora;Cualquier horario;Sí;Rara vez;Imprevisto;3;Sí;Sí;Sí;Transferencia bancaria;;Que mejoren la atención
7/28/2026 18:51:25;ENC-50;20;Una vez al mes;Medicina General, Odontología;2;5;5;5;5;Solo el médico que lo atiende;Muy importante;WhatsApp, Correo electrónico, Aplicación móvil, Mensaje de texto (SMS);Solicitar citas médicas;;El tiempo para sacar una cita ;Cada hospital tenga su propia app o sitio web para realizar las citas de forma mas rápida ;Masculino;;;;;;Menos de 1 hora;Cualquier horario;Sí;A veces;Imprevisto;4;Sí;Sí;Sí;Transferencia bancaria;;Ninguna 
7/28/2026 19:11:04;ENC-51;19;Varias veces al año;Odontología;3;4;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp;Solicitar citas médicas;;He experimentado algunas dificultades como retrasos en la atención, tener que esperar mucho tiempo para conseguir la cita y, en ocasiones, demoras en la entrega de resultados o en la atención médica ;Implementaria un sistema de citas más organizado, reduciría los tiempos de espera y mejoraría la atención en recepción ;Femenino;;;;;;1 a 6 horas;Cualquier horario;No;Rara vez;Imprevisto;4;No;Sí;Sí;Transferencia bancaria;;Sería bueno escuchar con más frecuencia las opiniones de los usuarios para conocer que aspectos de la atención se necesita mejorar
7/28/2026 19:14:45;ENC-52;26;Varias veces al año;Medicina General;1;1;2;1;1;Solo el médico que lo atiende;Muy importante;WhatsApp, Aplicación móvil;Solicitar citas médicas;; Que no la dan enseguida las citas ; Pues que haya cita cercana ;Femenino;;;;;;Menos de 1 hora;Tarde;Sí;Rara vez;Imprevisto;1;No;No estoy seguro(a);Sí;Transferencia bancaria;;Seguro
7/28/2026 19:15:14;ENC-53;18;Una vez al año;Medicina General;3;3;4;5;4;Los profesionales autorizados que participen en mi atenció;Poco importante;Correo electrónico, Mensaje de texto (SMS);Solicitar citas médicas;;ninguna;mejor orientación ;Femenino;;;;;;6 a 24 horas;Mañana;Sí;Nunca;No aplica;3;No;Sí;Sí;Efectivo en el centro;;ninguno
7/28/2026 19:48:13;ENC-54;25;Una vez al mes;Medicina General;2;2;3;1;3;Solo el médico que lo atiende;Importante;WhatsApp;Solicitar citas médicas;;Nd ;Nd;Femenino;;;;;;Menos de 1 hora;Mañana;No;Nunca;Imprevisto;1;Sí;Sí;No;Efectivo en el centro;;Nd
7/28/2026 19:51:08;ENC-55;23;Una vez al año;Medicina General, Odontología;1;5;5;5;5;Todo el personal del centro médico;Importante;WhatsApp, Aplicación móvil, Mensaje de texto (SMS);Todas las anteriores;;Que no hay citas disponibles ;Mas centros de servicio;Masculino;;;;;;6 a 24 horas;Cualquier horario;Sí;Nunca;Imprevisto;5;No;Sí;Sí;Transferencia bancaria;;Me gustaria que hayan mas oportunidades de poder agendar citas mas recurrentes
7/28/2026 20:23:54;ENC-56;18;Una vez al mes;Medicina General;1;3;2;5;5;Los profesionales autorizados que participen en mi atenció;Importante;WhatsApp, Correo electrónico, Mensaje de texto (SMS);Consultar información de mis citas;;Falta de atención de parte del personal del centro médico;Mayor atención y disponibilidad;Masculino;;;;;;Menos de 1 hora;Cualquier horario;Sí;Rara vez;No había forma fácil de cancelar;3;No;Sí;Sí;Efectivo en el centro;;Algunos que mejoren su actitud y la atención al momento de tratar un paciente, y que tengan un sistema o algo para agilizar
7/28/2026 20:27:42;ENC-57;56;Más de una vez al mes;Medicina General;2;5;5;5;5;Los profesionales autorizados que participen en mi atenció;Muy importante;WhatsApp, Correo electrónico, Aplicación móvil, Mensaje de texto (SMS);Todas las anteriores;;Que no hay disponibilidad por el momento en caso de que se haga en la noche;Que haya atención para agendar una cita a cualquier hora y sea de manera digitalizada;Femenino;;;;;;Menos de 1 hora;Cualquier horario;Sí;Nunca;No aplica;4;No;Sí;Sí;Efectivo en el centro;;Mejorar la atención
7/28/2026 20:42:03;ENC-58;27;Varias veces al año;Medicina General;2;4;4;4;2;Los profesionales autorizados que participen en mi atenció;No estoy seguro(a);WhatsApp, Correo electrónico, Mensaje de texto (SMS);Solicitar citas médicas;;Que se pasa de la hora agendada ;Que las chicas de estadística hablen menoa entre ellas ;Femenino;;;;;;1 a 6 horas;Mañana;Sí;Rara vez;Imprevisto;3;No;Sí;Sí;Efectivo en el centro;;Ninguno 
7/28/2026 21:01:30;ENC-59;21;Varias veces al año;Medicina General;5;5;5;5;5;Solo el médico que lo atiende;Importante;WhatsApp, Correo electrónico, Aplicación móvil, Mensaje de texto (SMS);Todas las anteriores;;Ninguna ;Mejor atención ;Femenino;;;;;;Menos de 1 hora;Mañana;Sí;Nunca;No aplica;3;No;Sí;Sí;Transferencia bancaria;;Que haya medicinas 
7/28/2026 21:05:27;ENC-60;21;Varias veces al año;Medicina General;5;5;5;5;5;Solo el médico que lo atiende;Importante;WhatsApp, Correo electrónico, Aplicación móvil, Mensaje de texto (SMS);Solicitar citas médicas;;Ninguna ;Mejor atención ;Femenino;;;;;;Menos de 1 hora;Cualquier horario;Sí;Nunca;No aplica;2;No;No estoy seguro(a);Sí;Transferencia bancaria;;Que haya medicinas 
