id_registro;codigo_sesion;area;requisito;estado_tarea;fuente_evidencia
OBS-029;VAL-TF;Terapia Física;RF-40;COMPLETADA_CON_OBSERVACION;V TerapiaFisica.txt
OBS-030;VAL-TF;Terapia Física;RF-10;COMPLETADA_CON_OBSERVACION;V TerapiaFisica.txt
OBS-030;VAL-TF;Terapia Física;RF-30;COMPLETADA_CON_OBSERVACION;V TerapiaFisica.txt
OBS-031;VAL-PSI;Psicología;RNF-03;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-032;VAL-PSI;Psicología;RF-01;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-032;VAL-PSI;Psicología;RF-39;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-033;VAL-PSI;Psicología;RF-40;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-033;VAL-PSI;Psicología;RNF-03;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-034;VAL-PSI;Psicología;RF-39;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-034;VAL-PSI;Psicología;RNF-03;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-035;VAL-PSI;Psicología;RNF-03;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-036;VAL-PSI;Psicología;RF-01;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-036;VAL-PSI;Psicología;RF-39;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-037;VAL-PSI;Psicología;RF-35;COMPLETADA_CON_OBSERVACION;09_V_Psicologia.txt
OBS-038;VAL-PSI;Psicología;RF-19;COMPLETADA;09_V_Psicologia.txt
OBS-038;VAL-PSI;Psicología;RF-24;COMPLETADA;09_V_Psicologia.txt
OBS-039;VAL-PAC02;Paciente simulado;RNF-03;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-040;VAL-PAC02;Paciente simulado;RF-11;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-041;VAL-PAC02;Paciente simulado;RF-28;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-042;VAL-PAC02;Paciente simulado;RF-02;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-042;VAL-PAC02;Paciente simulado;RF-13;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-043;VAL-PAC02;Paciente simulado;RF-01;NO_COMPLETADA;10_V_Simulador_Paciente02.txt
OBS-043;VAL-PAC02;Paciente simulado;RF-39;NO_COMPLETADA;10_V_Simulador_Paciente02.txt
OBS-044;VAL-PAC02;Paciente simulado;RNF-13;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-045;VAL-PAC02;Paciente simulado;RNF-03;COMPLETADA_CON_OBSERVACION;10_V_Simulador_Paciente02.txt
OBS-046;VAL-PAC02;Paciente simulado;RNF-18;NO_COMPLETADA;10_V_Simulador_Paciente02.txt
